Task,Feedback,Color,Timestamp,Team ID,Take Number
1,11,5,0:00:01,1,1
2,22,3,0:00:02,1,1
3,33,1,0:00:03,1,1
,,,,,
3,33,5,0:00:04,2,1
2,22,3,0:00:05,1,2
1,11,1,0:00:06,2,2
,,,,,
1,11,5,0:00:01,1,1
2,22,3,0:00:02,1,1
3,33,1,0:00:03,1,1
,,,,,
3,33,5,0:00:04,2,1
2,22,3,0:00:05,1,2
1,11,1,0:00:06,2,2
,,,,,
1,11,5,0:00:01,1,1
2,22,3,0:00:02,1,1
3,33,1,0:00:03,1,1
,,,,,
3,33,5,0:00:04,2,1
2,22,3,0:00:05,1,2
1,11,1,0:00:06,2,2
,,,,,
1,11,5,0:00:01,1,1
2,22,3,0:00:02,1,1
3,33,1,0:00:03,1,1
,,,,,
3,33,5,0:00:04,2,1
2,22,3,0:00:05,1,2
1,11,1,0:00:06,2,2
,,,,,
1,11,5,0:00:01,1,1
2,22,3,0:00:02,1,1
3,33,1,0:00:03,1,1
,,,,,
3,33,5,0:00:04,2,1
2,22,3,0:00:05,1,2
1,11,1,0:00:06,2,2
,,,,,
1,11,5,0:00:01,1,1
2,22,3,0:00:02,1,1
3,33,1,0:00:03,1,1
,,,,,
3,33,5,0:00:04,2,1
2,22,3,0:00:05,1,2
1,11,1,0:00:06,2,2
,,,,,
1,11,5,0:00:01,1,1
2,22,3,0:00:02,1,1
3,33,1,0:00:03,1,1
,,,,,
3,33,5,0:00:04,2,1
2,22,3,0:00:05,1,2
1,11,1,0:00:06,2,2
