Task,Feedback,Color,Timestamp,Reflections
1,11,,00:00:06,1
2,22,,00:00:19,2
3,33,,00:00:19,3
4,44,,00:00:19,
5,55,,00:00:19,
6,66,,00:00:19,
7,77,,00:00:19,
8,88,,00:00:19,
9,99,,00:00:19,
10,110,,00:00:19,
11,111,,00:00:19,
12,112,,00:00:19,
13,113,,00:00:19,
14,114,,00:00:19,
15,115,,00:00:19,
1,11,,00:00:06,3
2,22,,00:00:19,2
3,33,,00:00:19,1
4,44,,00:00:19,
5,55,,00:00:19,
6,66,,00:00:19,
7,77,,00:00:19,
8,88,,00:00:19,
9,99,,00:00:19,
10,110,,00:00:19,
11,111,,00:00:19,
12,112,,00:00:19,
13,113,,00:00:19,
14,114,,00:00:19,
15,115,,00:00:19,
,,,,
